code,title,from,has_conflict
-10,无法判断,"cfps10, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
-9,缺失,"cfps10, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
-8,不适用,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
-7,职业描述不清，无法分类,"cfps10, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
-2,拒绝回答,"cfps10, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
-1,不知道,"cfps10, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10000,国家机关、党群组织、企业、事业单位负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10100,中国共产党中央委员会和地方各级组织负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10101,中国共产党中央委员会和地方各级组织负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10200,国家机关及其工作机构负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10201,国家权力机关及其工作机构负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10202,人民政协及其工作机构负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10203,人民法院负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10204,人民检察院负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10205,国家行政机关及其工作机构负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10209,其他国家机关及其工作机构负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10300,民主党派和社会团体及其工作机构负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10301,民主党派负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10302,工会、共青团、妇联、其他人民团体及其工作,cfps12,TRUE
10302,工会、共青团、妇联、其他人民团体及其工作机构负责人,"cfps10, cfps14, cfps16, cfps18, cfps20, cfps22",TRUE
10303,群众自治组织负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10309,其他社会团体及工作机构负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10400,事业单位负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10401,教育教学单位负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10402,卫生单位负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10403,科研单位负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10409,其他事业单位负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10500,企业负责人,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10501,企业负责人,cfps10,FALSE
10510,企业负责人,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10520,生产经营方面的部门经理或主管,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10530,其他部门经理或主管,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10544,批发、零售业业个体经营业主,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10545,餐馆、旅店方面的个体经营业主,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10546,仓储、运输、交通类个体经营业主,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10547,商务服务业经营业主,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10548,保健娱乐、家政方面的个体经营业主,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10549,集市个体摊位业主,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10550,街头个体食品摊位业主,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10551,其他街头摊位售卖者,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10552,其他个体经营业主,"cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
10554,数据错误,"cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20000,专业技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20100,文学艺术工作人员,"cfps10, cfps14, cfps16, cfps18",TRUE
20100,科学研究人员,"cfps12, cfps20, cfps22",TRUE
20101,哲学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20102,经济学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20103,法学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20104,社会学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20105,教育科学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20106,文学、艺术研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20107,图书馆学、情报学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20108,历史学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20109,管理科学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20111,数学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20112,物理学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20113,化学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20114,天文学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20115,地球科学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20116,生物科学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20117,农业科学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20118,医学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20119,其他科学研究人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20200,工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20201,地质勘探工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20202,测绘工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20203,矿山工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20204,石油工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20205,冶金工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20206,化工工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20207,机械工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20208,兵器工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20209,航空工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20211,航天工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20212,电子工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20213,通信工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20214,计算机与应用工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20215,电气工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
20216,电力工程技术人员,"cfps10, cfps12, cfps14, cfps16, cfps18, cfps20, cfps22",FALSE
